###
console output
2023-03-14 09:02:49
###
 
 reading from starter.ss
 reading from data file
Data read sucessful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  read parm file
3 464 -log(L): 3154.22  Spbio: 99243.8 676816
3 465 -log(L): 3154.22  Spbio: 99243.8 676816
3 466 -log(L): 3154.22  Spbio: 99243.8 676816
3 467 -log(L): 3154.22  Spbio: 99243.8 676816
3 468 -log(L): 3154.22  Spbio: 99243.8 676816
3 469 -log(L): 3154.22  Spbio: 99243.8 676816
3 470 -log(L): 3154.22  Spbio: 99243.8 676816
3 471 -log(L): 3154.22  Spbio: 99243.8 676816
3 472 -log(L): 3154.22  Spbio: 99243.8 676816
3 473 -log(L): 3154.22  Spbio: 99243.8 676816
3 474 -log(L): 3154.22  Spbio: 99243.8 676816
3 475 -log(L): 3154.22  Spbio: 99243.8 676816
3 476 -log(L): 3154.22  Spbio: 99243.8 676816
3 477 -log(L): 3154.22  Spbio: 99243.8 676816
3 478 -log(L): 3154.22  Spbio: 99243.8 676816
3 479 -log(L): 3154.22  Spbio: 99243.8 676816
3 480 -log(L): 3154.22  Spbio: 99243.8 676816
3 481 -log(L): 3154.22  Spbio: 99243.8 676816
3 482 -log(L): 3154.22  Spbio: 99243.8 676816
3 483 -log(L): 3154.22  Spbio: 99243.8 676816
3 484 -log(L): 3154.22  Spbio: 99243.8 676816
3 485 -log(L): 3154.22  Spbio: 99243.8 676816
3 486 -log(L): 3154.22  Spbio: 99243.8 676816
3 487 -log(L): 3154.22  Spbio: 99243.8 676816
3 488 -log(L): 3154.22  Spbio: 99243.8 676816
3 489 -log(L): 3154.22  Spbio: 99243.8 676816
3 490 -log(L): 3154.22  Spbio: 99243.8 676816
3 491 -log(L): 3154.22  Spbio: 99243.8 676816
3 492 -log(L): 3154.22  Spbio: 99243.8 676816
3 493 -log(L): 3154.22  Spbio: 99243.8 676816
3 494 -log(L): 3154.22  Spbio: 99243.8 676816
3 495 -log(L): 3154.22  Spbio: 99243.8 676816
3 496 -log(L): 3154.22  Spbio: 99243.8 676816
3 497 -log(L): 3154.22  Spbio: 99243.8 676816
3 498 -log(L): 3154.22  Spbio: 99243.8 676816
3 499 -log(L): 3154.22  Spbio: 99243.8 676816
3 500 -log(L): 3154.22  Spbio: 99243.8 676816
3 501 -log(L): 3154.22  Spbio: 99243.8 676816
3 502 -log(L): 3154.22  Spbio: 99243.8 676816
3 503 -log(L): 3154.22  Spbio: 99243.8 676816
3 504 -log(L): 3154.22  Spbio: 99243.8 676816
3 505 -log(L): 3154.22  Spbio: 99243.8 676816
3 506 -log(L): 3154.22  Spbio: 99243.8 676816
3 507 -log(L): 3154.22  Spbio: 99243.8 676816
3 508 -log(L): 3154.22  Spbio: 99243.8 676816
3 509 -log(L): 3154.22  Spbio: 99243.8 676816
3 510 -log(L): 3154.22  Spbio: 99243.8 676816
3 511 -log(L): 3154.22  Spbio: 99243.8 676816
3 512 -log(L): 3154.22  Spbio: 99243.8 676816
3 513 -log(L): 3154.22  Spbio: 99243.8 676816
3 514 -log(L): 3154.22  Spbio: 99243.8 676816
3 515 -log(L): 3154.22  Spbio: 99243.8 676816
3 516 -log(L): 3154.22  Spbio: 99243.8 676816
3 517 -log(L): 3154.22  Spbio: 99243.8 676816
3 518 -log(L): 3154.22  Spbio: 99243.8 676816
3 519 -log(L): 3154.22  Spbio: 99243.8 676816
3 520 -log(L): 3154.22  Spbio: 99243.8 676816
3 521 -log(L): 3154.22  Spbio: 99243.8 676816
3 522 -log(L): 3154.22  Spbio: 99243.8 676816
3 523 -log(L): 3154.22  Spbio: 99243.8 676816
3 524 -log(L): 3154.22  Spbio: 99243.8 676816
3 525 -log(L): 3154.22  Spbio: 99243.8 676816
3 526 -log(L): 3154.22  Spbio: 99243.8 676816
, 40%3 527 -log(L): 3154.22  Spbio: 99243.8 676817
3 528 -log(L): 3154.22  Spbio: 99243.8 676815
3 529 -log(L): 3154.22  Spbio: 99243.8 676816
3 530 -log(L): 3154.22  Spbio: 99243.8 676816
3 531 -log(L): 3154.22  Spbio: 99243.8 676816
3 532 -log(L): 3154.22  Spbio: 99243.8 676816
3 533 -log(L): 3154.22  Spbio: 99243.8 676816
3 534 -log(L): 3154.22  Spbio: 99243.8 676816
3 535 -log(L): 3154.22  Spbio: 99243.8 676818
3 536 -log(L): 3154.22  Spbio: 99243.8 676814
3 537 -log(L): 3154.22  Spbio: 99243.8 676816
3 538 -log(L): 3154.22  Spbio: 99243.8 676816
3 539 -log(L): 3154.22  Spbio: 99243.8 676816
3 540 -log(L): 3154.22  Spbio: 99243.8 676816
3 541 -log(L): 3154.22  Spbio: 99243.8 676816
3 542 -log(L): 3154.22  Spbio: 99243.8 676816
3 543 -log(L): 3154.22  Spbio: 99243.8 676817
3 544 -log(L): 3154.22  Spbio: 99243.8 676815
3 545 -log(L): 3154.22  Spbio: 99243.8 676816
3 546 -log(L): 3154.22  Spbio: 99243.8 676816
3 547 -log(L): 3154.22  Spbio: 99243.8 676818
3 548 -log(L): 3154.22  Spbio: 99243.8 676814
3 549 -log(L): 3154.22  Spbio: 99243.8 676816
3 550 -log(L): 3154.22  Spbio: 99243.8 676816
3 551 -log(L): 3154.22  Spbio: 99243.8 676818
3 552 -log(L): 3154.22  Spbio: 99243.8 676814
3 553 -log(L): 3154.22  Spbio: 99243.8 676816
3 554 -log(L): 3154.22  Spbio: 99243.8 676816
3 555 -log(L): 3154.22  Spbio: 99243.8 676826
3 556 -log(L): 3154.22  Spbio: 99243.8 676806
3 557 -log(L): 3154.22  Spbio: 99243.8 676817
3 558 -log(L): 3154.22  Spbio: 99243.8 676815
3 559 -log(L): 3154.22  Spbio: 99243.8 676816
3 560 -log(L): 3154.22  Spbio: 99243.8 676816
3 561 -log(L): 3154.22  Spbio: 99243.8 676816
3 562 -log(L): 3154.22  Spbio: 99243.8 676816
3 563 -log(L): 3154.22  Spbio: 99243.8 676817
3 564 -log(L): 3154.22  Spbio: 99243.8 676815
3 565 -log(L): 3154.22  Spbio: 99243.8 676816
3 566 -log(L): 3154.22  Spbio: 99243.8 676816
3 567 -log(L): 3154.22  Spbio: 99243.4 676816
3 568 -log(L): 3154.22  Spbio: 99244.1 676816
3 569 -log(L): 3154.22  Spbio: 99243.7 676816
3 570 -log(L): 3154.22  Spbio: 99243.8 676816
3 571 -log(L): 3154.22  Spbio: 99243.8 676816
3 572 -log(L): 3154.22  Spbio: 99243.8 676816
3 573 -log(L): 3154.22  Spbio: 99243.8 676816
3 574 -log(L): 3154.22  Spbio: 99243.8 676816
3 575 -log(L): 3154.22  Spbio: 99243.8 676816
3 576 -log(L): 3154.22  Spbio: 99243.8 676816
3 577 -log(L): 3154.22  Spbio: 99243.8 676816
3 578 -log(L): 3154.22  Spbio: 99243.8 676816
3 579 -log(L): 3154.22  Spbio: 99243.8 676816
3 580 -log(L): 3154.22  Spbio: 99243.8 676816
3 581 -log(L): 3154.22  Spbio: 99243.8 676816
3 582 -log(L): 3154.22  Spbio: 99243.8 676816
3 583 -log(L): 3154.22  Spbio: 99243.8 676816
3 584 -log(L): 3154.22  Spbio: 99243.8 676816
3 585 -log(L): 3154.22  Spbio: 99243.8 676816
3 586 -log(L): 3154.22  Spbio: 99243.8 676816
3 587 -log(L): 3154.22  Spbio: 99243.8 676816
3 588 -log(L): 3154.22  Spbio: 99243.8 676816
3 589 -log(L): 3154.22  Spbio: 99243.8 676816
3 590 -log(L): 3154.22  Spbio: 99243.8 676816
3 591 -log(L): 3154.22  Spbio: 99243.8 676816
3 592 -log(L): 3154.22  Spbio: 99243.8 676816
3 593 -log(L): 3154.22  Spbio: 99243.8 676816
3 594 -log(L): 3154.22  Spbio: 99243.8 676816
3 595 -log(L): 3154.22  Spbio: 99243.8 676816
3 596 -log(L): 3154.22  Spbio: 99243.8 676816
3 597 -log(L): 3154.22  Spbio: 99243.8 676816
3 598 -log(L): 3154.22  Spbio: 99243.8 676816
3 599 -log(L): 3154.22  Spbio: 99243.8 676816
3 600 -log(L): 3154.22  Spbio: 99243.8 676816
3 601 -log(L): 3154.22  Spbio: 99243.8 676816
3 602 -log(L): 3154.22  Spbio: 99243.8 676816
3 603 -log(L): 3154.22  Spbio: 99243.8 676816
3 604 -log(L): 3154.22  Spbio: 99243.8 676816
3 605 -log(L): 3154.22  Spbio: 99243.8 676816
3 606 -log(L): 3154.22  Spbio: 99243.8 676816
3 607 -log(L): 3154.22  Spbio: 99243.8 676816
3 608 -log(L): 3154.22  Spbio: 99243.8 676816
3 609 -log(L): 3154.22  Spbio: 99243.8 676816
3 610 -log(L): 3154.22  Spbio: 99243.8 676816
3 611 -log(L): 3154.22  Spbio: 99243.8 676816
3 612 -log(L): 3154.22  Spbio: 99243.8 676816
3 613 -log(L): 3154.22  Spbio: 99243.8 676816
3 614 -log(L): 3154.22  Spbio: 99243.8 676816
3 615 -log(L): 3154.22  Spbio: 99243.8 676816
3 616 -log(L): 3154.22  Spbio: 99243.8 676816
3 617 -log(L): 3154.22  Spbio: 99243.8 676816
3 618 -log(L): 3154.22  Spbio: 99243.8 676816
3 619 -log(L): 3154.22  Spbio: 99243.8 676816
3 620 -log(L): 3154.22  Spbio: 99243.8 676816
3 621 -log(L): 3154.22  Spbio: 99243.8 676816
3 622 -log(L): 3154.22  Spbio: 99243.8 676816
3 623 -log(L): 3154.22  Spbio: 99243.8 676816
3 624 -log(L): 3154.22  Spbio: 99243.8 676816
3 625 -log(L): 3154.22  Spbio: 99243.8 676816
3 626 -log(L): 3154.22  Spbio: 99243.8 676816
3 627 -log(L): 3154.22  Spbio: 99243.8 676816
3 628 -log(L): 3154.22  Spbio: 99243.8 676816
3 629 -log(L): 3154.22  Spbio: 99243.8 676816
3 630 -log(L): 3154.22  Spbio: 99243.8 676816
3 631 -log(L): 3154.22  Spbio: 99243.8 676816
3 632 -log(L): 3154.22  Spbio: 99243.8 676816
3 633 -log(L): 3154.22  Spbio: 99243.8 676816
3 634 -log(L): 3154.22  Spbio: 99243.8 676816
3 635 -log(L): 3154.22  Spbio: 99243.8 676816
3 636 -log(L): 3154.22  Spbio: 99243.8 676816
3 637 -log(L): 3154.22  Spbio: 99243.8 676816
3 638 -log(L): 3154.22  Spbio: 99243.8 676816
3 639 -log(L): 3154.22  Spbio: 99243.8 676816
3 640 -log(L): 3154.22  Spbio: 99243.8 676816
3 641 -log(L): 3154.22  Spbio: 99243.8 676816
3 642 -log(L): 3154.22  Spbio: 99243.8 676816
3 643 -log(L): 3154.22  Spbio: 99243.8 676816
3 644 -log(L): 3154.22  Spbio: 99243.8 676816
3 645 -log(L): 3154.22  Spbio: 99243.8 676816
3 646 -log(L): 3154.22  Spbio: 99243.8 676816
3 647 -log(L): 3154.22  Spbio: 99243.8 676816
3 648 -log(L): 3154.22  Spbio: 99243.8 676816
3 649 -log(L): 3154.22  Spbio: 99243.8 676816
3 650 -log(L): 3154.22  Spbio: 99243.8 676816
3 651 -log(L): 3154.22  Spbio: 99243.8 676816
3 652 -log(L): 3154.22  Spbio: 99243.8 676816
3 653 -log(L): 3154.22  Spbio: 99243.8 676816
3 654 -log(L): 3154.22  Spbio: 99243.8 676816
3 655 -log(L): 3154.22  Spbio: 99243.8 676816
3 656 -log(L): 3154.22  Spbio: 99243.8 676816
3 657 -log(L): 3154.22  Spbio: 99243.8 676816
3 658 -log(L): 3154.22  Spbio: 99243.8 676816
3 659 -log(L): 3154.22  Spbio: 99243.8 676816
3 660 -log(L): 3154.22  Spbio: 99243.8 676816
3 661 -log(L): 3154.22  Spbio: 99243.8 676816
3 662 -log(L): 3154.22  Spbio: 99243.8 676816
3 663 -log(L): 3154.22  Spbio: 99243.8 676816
3 664 -log(L): 3154.22  Spbio: 99243.8 676816
3 665 -log(L): 3154.22  Spbio: 99243.8 676816
3 666 -log(L): 3154.22  Spbio: 99243.8 676816
3 667 -log(L): 3154.22  Spbio: 99243.8 676816
3 668 -log(L): 3154.22  Spbio: 99243.8 676816
3 669 -log(L): 3154.22  Spbio: 99243.8 676816
3 670 -log(L): 3154.22  Spbio: 99243.8 676816
3 671 -log(L): 3154.22  Spbio: 99243.8 676816
3 672 -log(L): 3154.22  Spbio: 99243.8 676816
3 673 -log(L): 3154.22  Spbio: 99243.8 676816
3 674 -log(L): 3154.22  Spbio: 99243.8 676816
3 675 -log(L): 3154.22  Spbio: 99243.8 676816
3 676 -log(L): 3154.22  Spbio: 99243.8 676816
3 677 -log(L): 3154.22  Spbio: 99243.8 676816
3 678 -log(L): 3154.22  Spbio: 99243.8 676816
3 679 -log(L): 3154.22  Spbio: 99243.8 676816
3 680 -log(L): 3154.22  Spbio: 99243.8 676816
3 681 -log(L): 3154.22  Spbio: 99243.8 676816
3 682 -log(L): 3154.22  Spbio: 99243.8 676816
3 683 -log(L): 3154.22  Spbio: 99243.8 676816
3 684 -log(L): 3154.22  Spbio: 99243.8 676816
3 685 -log(L): 3154.22  Spbio: 99243.8 676816
3 686 -log(L): 3154.22  Spbio: 99243.8 676816
3 687 -log(L): 3154.22  Spbio: 99243.8 676816
3 688 -log(L): 3154.22  Spbio: 99243.8 676816
3 689 -log(L): 3154.22  Spbio: 99243.8 676816
3 690 -log(L): 3154.22  Spbio: 99243.8 676816
3 691 -log(L): 3154.22  Spbio: 99243.8 676816
3 692 -log(L): 3154.22  Spbio: 99243.8 676816
3 693 -log(L): 3154.22  Spbio: 99243.8 676816
3 694 -log(L): 3154.22  Spbio: 99243.8 676816
3 695 -log(L): 3154.22  Spbio: 99243.8 676816
3 696 -log(L): 3154.22  Spbio: 99243.8 676816
3 697 -log(L): 3154.22  Spbio: 99243.8 676816
3 698 -log(L): 3154.22  Spbio: 99243.8 676816
3 699 -log(L): 3154.22  Spbio: 99243.8 676816
3 700 -log(L): 3154.22  Spbio: 99243.8 676816
3 701 -log(L): 3154.22  Spbio: 99243.8 676816
3 702 -log(L): 3154.22  Spbio: 99243.8 676816
3 703 -log(L): 3154.22  Spbio: 99243.8 676816
3 704 -log(L): 3154.22  Spbio: 99243.8 676816
3 705 -log(L): 3154.22  Spbio: 99243.8 676816
3 706 -log(L): 3154.22  Spbio: 99243.8 676816
3 707 -log(L): 3154.22  Spbio: 99243.8 676816
3 708 -log(L): 3154.22  Spbio: 99243.8 676816
3 709 -log(L): 3154.22  Spbio: 99243.8 676816
3 710 -log(L): 3154.22  Spbio: 99243.8 676816
3 711 -log(L): 3154.22  Spbio: 99243.8 676816
3 712 -log(L): 3154.22  Spbio: 99243.8 676816
3 713 -log(L): 3154.22  Spbio: 99243.8 676816
3 714 -log(L): 3154.22  Spbio: 99243.8 676816
3 715 -log(L): 3154.22  Spbio: 99243.8 676816
3 716 -log(L): 3154.22  Spbio: 99243.8 676816
3 717 -log(L): 3154.22  Spbio: 99243.8 676816
3 718 -log(L): 3154.22  Spbio: 99243.8 676816
3 719 -log(L): 3154.22  Spbio: 99243.8 676816
3 720 -log(L): 3154.22  Spbio: 99243.8 676816
3 721 -log(L): 3154.22  Spbio: 99243.8 676816
3 722 -log(L): 3154.22  Spbio: 99243.8 676816
3 723 -log(L): 3154.22  Spbio: 99243.8 676816
3 724 -log(L): 3154.22  Spbio: 99243.8 676816
3 725 -log(L): 3154.22  Spbio: 99243.8 676816
3 726 -log(L): 3154.22  Spbio: 99243.8 676816
3 727 -log(L): 3154.22  Spbio: 99243.8 676816
3 728 -log(L): 3154.22  Spbio: 99243.8 676816
3 729 -log(L): 3154.22  Spbio: 99243.8 676816
3 730 -log(L): 3154.22  Spbio: 99243.8 676816
3 731 -log(L): 3154.22  Spbio: 99243.8 676816
3 732 -log(L): 3154.22  Spbio: 99243.8 676816
3 733 -log(L): 3154.22  Spbio: 99243.8 676816
3 734 -log(L): 3154.22  Spbio: 99243.8 676816
3 735 -log(L): 3154.22  Spbio: 99243.8 676816
3 736 -log(L): 3154.22  Spbio: 99243.8 676816
3 737 -log(L): 3154.22  Spbio: 99243.8 676816
3 738 -log(L): 3154.22  Spbio: 99243.8 676816
3 739 -log(L): 3154.22  Spbio: 99243.8 676816
3 740 -log(L): 3154.22  Spbio: 99243.8 676816
3 741 -log(L): 3154.22  Spbio: 99243.8 676816
3 742 -log(L): 3154.22  Spbio: 99243.8 676816
3 743 -log(L): 3154.22  Spbio: 99243.8 676816
3 744 -log(L): 3154.22  Spbio: 99243.8 676816
3 745 -log(L): 3154.22  Spbio: 99243.8 676816
3 746 -log(L): 3154.22  Spbio: 99243.8 676816
3 747 -log(L): 3154.22  Spbio: 99243.8 676816
3 748 -log(L): 3154.22  Spbio: 99243.8 676816
3 749 -log(L): 3154.22  Spbio: 99243.8 676816
3 750 -log(L): 3154.22  Spbio: 99243.8 676816
3 751 -log(L): 3154.22  Spbio: 99243.8 676816
3 752 -log(L): 3154.22  Spbio: 99243.8 676816
3 753 -log(L): 3154.22  Spbio: 99243.8 676816
3 754 -log(L): 3154.22  Spbio: 99243.8 676816
3 755 -log(L): 3154.22  Spbio: 99243.8 676816
3 756 -log(L): 3154.22  Spbio: 99243.8 676816
3 757 -log(L): 3154.22  Spbio: 99243.8 676816
3 758 -log(L): 3154.22  Spbio: 99243.8 676816
3 759 -log(L): 3154.22  Spbio: 99243.8 676816
3 760 -log(L): 3154.22  Spbio: 99243.8 676816
3 761 -log(L): 3154.22  Spbio: 99243.8 676816
3 762 -log(L): 3154.22  Spbio: 99243.8 676816
3 763 -log(L): 3154.22  Spbio: 99243.8 676816
3 764 -log(L): 3154.22  Spbio: 99243.8 676816
3 765 -log(L): 3154.22  Spbio: 99243.8 676816
3 766 -log(L): 3154.22  Spbio: 99243.8 676816
3 767 -log(L): 3154.22  Spbio: 99243.8 676816
3 768 -log(L): 3154.22  Spbio: 99243.8 676816
3 769 -log(L): 3154.22  Spbio: 99243.8 676816
3 770 -log(L): 3154.22  Spbio: 99243.8 676816
, 60%3 771 -log(L): 3154.22  Spbio: 99243.8 676816
3 772 -log(L): 3154.22  Spbio: 99243.8 676816
3 773 -log(L): 3154.22  Spbio: 99243.8 676816
3 774 -log(L): 3154.22  Spbio: 99243.8 676816
3 775 -log(L): 3154.22  Spbio: 99243.8 676816
3 776 -log(L): 3154.22  Spbio: 99243.8 676816
3 777 -log(L): 3154.22  Spbio: 99243.8 676816
3 778 -log(L): 3154.22  Spbio: 99243.8 676816
3 779 -log(L): 3154.22  Spbio: 99243.8 676816
3 780 -log(L): 3154.22  Spbio: 99243.8 676816
3 781 -log(L): 3154.22  Spbio: 99243.8 676816
3 782 -log(L): 3154.22  Spbio: 99243.8 676816
3 783 -log(L): 3154.22  Spbio: 99243.8 676816
3 784 -log(L): 3154.22  Spbio: 99243.8 676816
3 785 -log(L): 3154.22  Spbio: 99243.8 676816
3 786 -log(L): 3154.22  Spbio: 99243.8 676816
3 787 -log(L): 3154.22  Spbio: 99243.8 676816
3 788 -log(L): 3154.22  Spbio: 99243.8 676816
3 789 -log(L): 3154.22  Spbio: 99243.8 676816
3 790 -log(L): 3154.22  Spbio: 99243.8 676816
3 791 -log(L): 3154.22  Spbio: 99243.8 676816
3 792 -log(L): 3154.22  Spbio: 99243.8 676816
3 793 -log(L): 3154.22  Spbio: 99243.8 676816
3 794 -log(L): 3154.22  Spbio: 99243.8 676816
3 795 -log(L): 3154.22  Spbio: 99243.8 676816
3 796 -log(L): 3154.22  Spbio: 99243.8 676816
3 797 -log(L): 3154.22  Spbio: 99243.8 676816
3 798 -log(L): 3154.22  Spbio: 99243.8 676816
3 799 -log(L): 3154.22  Spbio: 99243.8 676816
3 800 -log(L): 3154.22  Spbio: 99243.8 676816
3 801 -log(L): 3154.22  Spbio: 99243.8 676816
3 802 -log(L): 3154.22  Spbio: 99243.8 676816
3 803 -log(L): 3154.22  Spbio: 99243.8 676816
3 804 -log(L): 3154.22  Spbio: 99243.8 676816
3 805 -log(L): 3154.22  Spbio: 99243.8 676816
3 806 -log(L): 3154.22  Spbio: 99243.8 676816
3 807 -log(L): 3154.22  Spbio: 99243.8 676816
3 808 -log(L): 3154.22  Spbio: 99243.8 676816
3 809 -log(L): 3154.22  Spbio: 99243.8 676816
3 810 -log(L): 3154.22  Spbio: 99243.8 676816
3 811 -log(L): 3154.22  Spbio: 99243.8 676816
3 812 -log(L): 3154.22  Spbio: 99243.8 676816
3 813 -log(L): 3154.22  Spbio: 99243.8 676816
3 814 -log(L): 3154.22  Spbio: 99243.8 676816
3 815 -log(L): 3154.22  Spbio: 99243.8 676816
3 816 -log(L): 3154.22  Spbio: 99243.8 676816
3 817 -log(L): 3154.22  Spbio: 99243.8 676816
3 818 -log(L): 3154.22  Spbio: 99243.8 676816
3 819 -log(L): 3154.22  Spbio: 99243.8 676816
3 820 -log(L): 3154.22  Spbio: 99243.8 676816
3 821 -log(L): 3154.22  Spbio: 99243.8 676816
3 822 -log(L): 3154.22  Spbio: 99243.8 676816
3 823 -log(L): 3154.22  Spbio: 99243.8 676816
3 824 -log(L): 3154.22  Spbio: 99243.8 676816
3 825 -log(L): 3154.22  Spbio: 99243.8 676816
3 826 -log(L): 3154.22  Spbio: 99243.8 676816
3 827 -log(L): 3154.22  Spbio: 99243.8 676816
3 828 -log(L): 3154.22  Spbio: 99243.8 676816
3 829 -log(L): 3154.22  Spbio: 99243.8 676816
3 830 -log(L): 3154.22  Spbio: 99243.8 676816
3 831 -log(L): 3154.22  Spbio: 99243.8 676816
3 832 -log(L): 3154.22  Spbio: 99243.8 676816
3 833 -log(L): 3154.22  Spbio: 99243.8 676816
3 834 -log(L): 3154.22  Spbio: 99243.8 676816
3 835 -log(L): 3154.22  Spbio: 99243.8 676816
3 836 -log(L): 3154.22  Spbio: 99243.8 676816
3 837 -log(L): 3154.22  Spbio: 99243.8 676816
3 838 -log(L): 3154.22  Spbio: 99243.8 676816
3 839 -log(L): 3154.22  Spbio: 99243.8 676816
3 840 -log(L): 3154.22  Spbio: 99243.8 676816
3 841 -log(L): 3154.22  Spbio: 99243.8 676816
3 842 -log(L): 3154.22  Spbio: 99243.8 676816
3 843 -log(L): 3154.22  Spbio: 99243.8 676816
3 844 -log(L): 3154.22  Spbio: 99243.8 676816
3 845 -log(L): 3154.22  Spbio: 99243.8 676816
3 846 -log(L): 3154.22  Spbio: 99243.8 676816
3 847 -log(L): 3154.22  Spbio: 99243.8 676816
3 848 -log(L): 3154.22  Spbio: 99243.8 676816
3 849 -log(L): 3154.22  Spbio: 99243.8 676816
3 850 -log(L): 3154.22  Spbio: 99243.8 676816
3 851 -log(L): 3154.22  Spbio: 99243.8 676816
3 852 -log(L): 3154.22  Spbio: 99243.8 676816
3 853 -log(L): 3154.22  Spbio: 99243.8 676816
3 854 -log(L): 3154.22  Spbio: 99243.8 676816
3 855 -log(L): 3154.22  Spbio: 99243.8 676816
3 856 -log(L): 3154.22  Spbio: 99243.8 676816
3 857 -log(L): 3154.22  Spbio: 99243.8 676816
3 858 -log(L): 3154.22  Spbio: 99243.8 676816
3 859 -log(L): 3154.22  Spbio: 99243.8 676816
3 860 -log(L): 3154.22  Spbio: 99243.8 676816
3 861 -log(L): 3154.22  Spbio: 99243.8 676816
3 862 -log(L): 3154.22  Spbio: 99243.8 676816
3 863 -log(L): 3154.22  Spbio: 99243.8 676816
3 864 -log(L): 3154.22  Spbio: 99243.8 676816
3 865 -log(L): 3154.22  Spbio: 99243.8 676816
3 866 -log(L): 3154.22  Spbio: 99243.8 676816
3 867 -log(L): 3154.22  Spbio: 99243.8 676816
3 868 -log(L): 3154.22  Spbio: 99243.8 676816
3 869 -log(L): 3154.22  Spbio: 99243.8 676816
3 870 -log(L): 3154.22  Spbio: 99243.8 676816
3 871 -log(L): 3154.22  Spbio: 99243.8 676816
3 872 -log(L): 3154.22  Spbio: 99243.8 676816
3 873 -log(L): 3154.22  Spbio: 99243.8 676816
3 874 -log(L): 3154.22  Spbio: 99243.8 676816
3 875 -log(L): 3154.22  Spbio: 99243.8 676816
3 876 -log(L): 3154.22  Spbio: 99243.8 676816
3 877 -log(L): 3154.22  Spbio: 99243.8 676816
3 878 -log(L): 3154.22  Spbio: 99243.8 676816
3 879 -log(L): 3154.22  Spbio: 99243.8 676816
3 880 -log(L): 3154.22  Spbio: 99243.8 676816
3 881 -log(L): 3154.22  Spbio: 99243.8 676816
3 882 -log(L): 3154.22  Spbio: 99243.8 676816
3 883 -log(L): 3154.22  Spbio: 99243.8 676816
3 884 -log(L): 3154.22  Spbio: 99243.8 676816
3 885 -log(L): 3154.22  Spbio: 99243.8 676816
3 886 -log(L): 3154.22  Spbio: 99243.8 676816
3 887 -log(L): 3154.22  Spbio: 99243.8 676816
3 888 -log(L): 3154.22  Spbio: 99243.8 676816
3 889 -log(L): 3154.22  Spbio: 99243.8 676816
3 890 -log(L): 3154.22  Spbio: 99243.8 676816
3 891 -log(L): 3154.22  Spbio: 99243.8 676816
3 892 -log(L): 3154.22  Spbio: 99243.8 676816
3 893 -log(L): 3154.22  Spbio: 99243.8 676816
3 894 -log(L): 3154.22  Spbio: 99243.8 676816
3 895 -log(L): 3154.22  Spbio: 99243.8 676816
3 896 -log(L): 3154.22  Spbio: 99243.8 676816
3 897 -log(L): 3154.22  Spbio: 99243.8 676816
3 898 -log(L): 3154.22  Spbio: 99243.8 676816
3 899 -log(L): 3154.22  Spbio: 99243.8 676816
3 900 -log(L): 3154.22  Spbio: 99243.8 676816
3 901 -log(L): 3154.22  Spbio: 99243.8 676816
3 902 -log(L): 3154.22  Spbio: 99243.8 676816
3 903 -log(L): 3154.22  Spbio: 99243.8 676816
3 904 -log(L): 3154.22  Spbio: 99243.8 676816
3 905 -log(L): 3154.22  Spbio: 99243.8 676816
3 906 -log(L): 3154.22  Spbio: 99243.8 676816
3 907 -log(L): 3154.22  Spbio: 99243.8 676816
3 908 -log(L): 3154.22  Spbio: 99243.8 676816
3 909 -log(L): 3154.22  Spbio: 99243.8 676816
3 910 -log(L): 3154.22  Spbio: 99243.8 676816
3 911 -log(L): 3154.22  Spbio: 99243.8 676816
3 912 -log(L): 3154.22  Spbio: 99243.8 676816
3 913 -log(L): 3154.22  Spbio: 99243.8 676816
3 914 -log(L): 3154.22  Spbio: 99243.8 676816
3 915 -log(L): 3154.22  Spbio: 99243.8 676816
3 916 -log(L): 3154.22  Spbio: 99243.8 676816
3 917 -log(L): 3154.22  Spbio: 99243.8 676816
3 918 -log(L): 3154.22  Spbio: 99243.8 676816
3 919 -log(L): 3154.22  Spbio: 99243.8 676816
3 920 -log(L): 3154.22  Spbio: 99243.8 676816
3 921 -log(L): 3154.22  Spbio: 99243.8 676816
3 922 -log(L): 3154.22  Spbio: 99243.8 676816
3 923 -log(L): 3154.22  Spbio: 99243.8 676816
3 924 -log(L): 3154.22  Spbio: 99243.8 676816
3 925 -log(L): 3154.22  Spbio: 99243.8 676816
3 926 -log(L): 3154.22  Spbio: 99243.8 676816
3 927 -log(L): 3154.22  Spbio: 99243.8 676816
3 928 -log(L): 3154.22  Spbio: 99243.8 676816
3 929 -log(L): 3154.22  Spbio: 99243.8 676816
3 930 -log(L): 3154.22  Spbio: 99243.8 676816
3 931 -log(L): 3154.22  Spbio: 99243.8 676816
3 932 -log(L): 3154.22  Spbio: 99243.8 676816
3 933 -log(L): 3154.22  Spbio: 99243.8 676816
3 934 -log(L): 3154.22  Spbio: 99243.8 676816
3 935 -log(L): 3154.22  Spbio: 99243.8 676816
3 936 -log(L): 3154.22  Spbio: 99243.8 676816
3 937 -log(L): 3154.22  Spbio: 99243.8 676816
3 938 -log(L): 3154.22  Spbio: 99243.8 676816
3 939 -log(L): 3154.22  Spbio: 99243.8 676816
3 940 -log(L): 3154.22  Spbio: 99243.8 676816
3 941 -log(L): 3154.22  Spbio: 99243.8 676816
3 942 -log(L): 3154.22  Spbio: 99243.8 676816
